amphoe_name,province_name,pm25_mean,pm25_std,pm25_min,pm25_max,data_points,latitude,longitude,air_quality_category,air_quality_color,
แม่สะเรียง,แม่ฮ่องสอน,26.47,18.68,8.31,78.79,366,18.28,97.783,Unhealthy for Sensitive,#ff7e00,แม่สะเรียง|แม่ฮ่องสอน
ขุนยวม,แม่ฮ่องสอน,27.29,23.99,7.36,100.29,366,18.832,97.902,Unhealthy for Sensitive,#ff7e00,ขุนยวม|แม่ฮ่องสอน
สบเมย,แม่ฮ่องสอน,26.26,17.58,8.43,73.75,366,17.914,97.965,Unhealthy for Sensitive,#ff7e00,สบเมย|แม่ฮ่องสอน
แม่ลาน้อย,แม่ฮ่องสอน,26.78,19.86,8.09,84.37,366,18.481,97.982,Unhealthy for Sensitive,#ff7e00,แม่ลาน้อย|แม่ฮ่องสอน
เมืองแม่ฮ่องสอน,แม่ฮ่องสอน,28.61,36.98,3.64,166.95,366,19.265,98.005,Unhealthy for Sensitive,#ff7e00,เมืองแม่ฮ่องสอน|แม่ฮ่องสอน
ท่าสองยาง,ตาก,26.04,16.86,8.42,70.2,366,17.482,98.121,Unhealthy for Sensitive,#ff7e00,ท่าสองยาง|ตาก
ปางมะผ้า,แม่ฮ่องสอน,27.75,27.19,6.6,116.27,366,19.584,98.196,Unhealthy for Sensitive,#ff7e00,ปางมะผ้า|แม่ฮ่องสอน
แม่แจ่ม,เชียงใหม่,27.12,20.58,8.03,91.51,366,18.671,98.308,Unhealthy for Sensitive,#ff7e00,แม่แจ่ม|เชียงใหม่
ท้ายเหมือง,พังงา,17.19,5.42,10.38,31.33,366,8.493,98.312,Moderate,#ffff00,ท้ายเหมือง|พังงา
กะทู้,ภูเก็ต,15.5,4.06,10.06,29.12,366,7.917,98.314,Moderate,#ffff00,กะทู้|ภูเก็ต
ตะกั่วป่า,พังงา,17.98,6.12,10.18,33.85,366,8.845,98.326,Moderate,#ffff00,ตะกั่วป่า|พังงา
อมก๋อย,เชียงใหม่,26.26,17.38,8.32,71.52,366,17.68,98.336,Unhealthy for Sensitive,#ff7e00,อมก๋อย|เชียงใหม่
ถลาง,ภูเก็ต,15.69,4.19,10.59,29.31,366,8.055,98.346,Moderate,#ffff00,ถลาง|ภูเก็ต
เมืองภูเก็ต,ภูเก็ต,15.45,4.03,9.93,29.07,366,7.854,98.36,Moderate,#ffff00,เมืองภูเก็ต|ภูเก็ต
คุระบุรี,พังงา,18.46,6.54,10.1,35.54,366,9.165,98.371,Moderate,#ffff00,คุระบุรี|พังงา
ตะกั่วทุ่ง,พังงา,16.45,4.79,10.6,30.14,366,8.269,98.412,Moderate,#ffff00,ตะกั่วทุ่ง|พังงา
ปาย,แม่ฮ่องสอน,27.62,24.61,7.36,104.15,366,19.326,98.419,Unhealthy for Sensitive,#ff7e00,ปาย|แม่ฮ่องสอน
กะปง,พังงา,17.58,5.81,10.17,32.5,366,8.74,98.466,Moderate,#ffff00,กะปง|พังงา
ฮอด,เชียงใหม่,26.65,18.5,8.19,81.21,366,18.114,98.477,Unhealthy for Sensitive,#ff7e00,ฮอด|เชียงใหม่
เมืองพังงา,พังงา,17.01,5.3,10.32,30.71,366,8.468,98.514,Moderate,#ffff00,เมืองพังงา|พังงา
สุขสำราญ,ระนอง,18.77,6.8,10.06,36.65,366,9.415,98.521,Moderate,#ffff00,สุขสำราญ|ระนอง
สังขละบุรี,กาญจนบุรี,24.37,12.05,10.1,53.16,366,15.198,98.526,Moderate,#ffff00,สังขละบุรี|กาญจนบุรี
เกาะยาว,พังงา,15.87,4.33,10.63,29.24,366,8.003,98.589,Moderate,#ffff00,เกาะยาว|พังงา
จอมทอง,เชียงใหม่,26.94,19.21,8.14,88.5,366,18.372,98.604,Unhealthy for Sensitive,#ff7e00,จอมทอง|เชียงใหม่
เมืองระนอง,ระนอง,19.74,7.58,10.13,40.21,366,9.875,98.612,Moderate,#ffff00,เมืองระนอง|ระนอง
แม่ระมาด,ตาก,26.14,17.63,7.65,81.23,366,17.078,98.618,Unhealthy for Sensitive,#ff7e00,แม่ระมาด|ตาก
กะเปอร์,ระนอง,18.74,6.79,10.03,36.59,366,9.565,98.62,Moderate,#ffff00,กะเปอร์|ระนอง
ทับปุด,พังงา,17.01,5.34,10.21,30.58,366,8.531,98.632,Moderate,#ffff00,ทับปุด|พังงา
สะเมิง,เชียงใหม่,27.68,20.95,8.34,102.51,366,18.91,98.636,Unhealthy for Sensitive,#ff7e00,สะเมิง|เชียงใหม่
แม่วาง,เชียงใหม่,27.41,20.25,8.25,99.68,366,18.666,98.655,Unhealthy for Sensitive,#ff7e00,แม่วาง|เชียงใหม่
เวียงแหง,เชียงใหม่,27.47,21.96,7.96,96.3,366,19.589,98.663,Unhealthy for Sensitive,#ff7e00,เวียงแหง|เชียงใหม่
ดอยเต่า,เชียงใหม่,26.54,18.11,8.14,77.34,366,17.906,98.675,Unhealthy for Sensitive,#ff7e00,ดอยเต่า|เชียงใหม่
ทองผาภูมิ,กาญจนบุรี,24.07,11.39,10.33,53.01,366,14.832,98.69,Moderate,#ffff00,ทองผาภูมิ|กาญจนบุรี
พนม,สุราษฎร์ธานี,17.26,5.61,10,31.39,366,8.803,98.701,Moderate,#ffff00,พนม|สุราษฎร์ธานี
แม่สอด,ตาก,26.25,19.14,6.73,94.14,366,16.749,98.711,Unhealthy for Sensitive,#ff7e00,แม่สอด|ตาก
เวียงหนองล่อง,ลำพูน,26.98,19.23,8.12,90.16,366,18.415,98.748,Unhealthy for Sensitive,#ff7e00,เวียงหนองล่อง|ลำพูน
อ่าวลึก,กระบี่,16.67,5.06,10.23,29.54,366,8.364,98.75,Moderate,#ffff00,อ่าวลึก|กระบี่
ดอยหล่อ,เชียงใหม่,27.13,19.56,8.16,94.5,366,18.533,98.754,Unhealthy for Sensitive,#ff7e00,ดอยหล่อ|เชียงใหม่
ละอุ่น,ระนอง,20.12,7.89,10.17,41.7,366,10.082,98.782,Moderate,#ffff00,ละอุ่น|ระนอง
พะโต๊ะ,ชุมพร,19.27,7.21,10.07,38.59,366,9.813,98.799,Moderate,#ffff00,พะโต๊ะ|ชุมพร
สามเงา,ตาก,26.34,17.42,8.07,74.23,366,17.402,98.805,Unhealthy for Sensitive,#ff7e00,สามเงา|ตาก
พบพระ,ตาก,25.92,16.91,7.82,77.73,366,16.475,98.822,Unhealthy for Sensitive,#ff7e00,พบพระ|ตาก
บ้านโฮ่ง,ลำพูน,26.85,18.92,8.05,85.81,366,18.267,98.824,Unhealthy for Sensitive,#ff7e00,บ้านโฮ่ง|ลำพูน
ปลายพระยา,กระบี่,16.82,5.24,10.06,30,366,8.548,98.831,Moderate,#ffff00,ปลายพระยา|กระบี่
กระบุรี,ระนอง,20.96,8.56,10.26,44.84,366,10.462,98.846,Moderate,#ffff00,กระบุรี|ระนอง
วิภาวดี,สุราษฎร์ธานี,17.03,5.55,9.78,30.44,366,9.243,98.846,Moderate,#ffff00,วิภาวดี|สุราษฎร์ธานี
เมืองกระบี่,กระบี่,16.23,4.73,10.27,28.48,366,8.138,98.848,Moderate,#ffff00,เมืองกระบี่|กระบี่
แม่แตง,เชียงใหม่,27.72,20.96,8.36,101.63,366,19.181,98.851,Unhealthy for Sensitive,#ff7e00,แม่แตง|เชียงใหม่
สันป่าตอง,เชียงใหม่,27.13,19.58,8.15,97.13,366,18.606,98.877,Unhealthy for Sensitive,#ff7e00,สันป่าตอง|เชียงใหม่
อุ้มผาง,ตาก,25.08,13.66,9.48,59.74,366,15.799,98.877,Hazardous,#7e0023,อุ้มผาง|ตาก
แม่ริม,เชียงใหม่,28.51,21.46,9,111.79,366,18.941,98.878,Unhealthy for Sensitive,#ff7e00,แม่ริม|เชียงใหม่
หางดง,เชียงใหม่,27.78,21.34,8.24,115.14,366,18.735,98.879,Unhealthy for Sensitive,#ff7e00,หางดง|เชียงใหม่
ลี้,ลำพูน,26.54,18.06,8.03,75.79,366,17.788,98.885,Unhealthy for Sensitive,#ff7e00,ลี้|ลำพูน
ป่าซาง,ลำพูน,26.89,18.95,8.1,88.35,366,18.419,98.887,Unhealthy for Sensitive,#ff7e00,ป่าซาง|ลำพูน
เชียงดาว,เชียงใหม่,27.49,21.11,8.14,95.23,366,19.505,98.91,Unhealthy for Sensitive,#ff7e00,เชียงดาว|เชียงใหม่
