amphoe_name,province_name,pm25_mean,pm25_std,pm25_min,pm25_max,data_points,latitude,longitude,air_quality_category,air_quality_color,Unnamed: 11,longitude_original,latitude_original
หนองบุนนาก,นครราชสีมา,23.55,10.77,10.9,55.24,366,19.954544789242394,99.20836226702644,Moderate,#ffff00,หนองบุนนาก|นครราชสีมา,11043824.37,2267646.91
สุไหงโกลก,นราธิวาส,15.11,3.56,9.73,24.76,366,17.60981141495307,100.53378020550768,Moderate,#ffff00,สุไหงโกลก|นราธิวาส,11191369.22,1991927.76
เมืองบึงกาฬ,บึงกาฬ,20.41,16.01,5.47,86.86,366,19.698959249755834,101.02749329751293,Moderate,#ffff00,เมืองบึงกาฬ|บึงกาฬ,11246329.11,2237402.41
ป่าพะยอม,พัทลุง,14.25,3.69,9.5,24.95,366,18.787333757228097,101.01891914762061,Moderate,#ffff00,ป่าพะยอม|พัทลุง,11245374.64,2129913.84
หว้านใหญ่,มุกดาหาร,25.99,14.48,9.75,67.3,366,19.937109920111965,100.95257604860558,Unhealthy for Sensitive,#ff7e00,หว้านใหญ่|มุกดาหาร,11237989.36,2265582.22
กรงปินัง,ยะลา,15.49,2.93,8.83,23.88,366,17.308127385816615,99.87576650567833,Moderate,#ffff00,กรงปินัง|ยะลา,11118119.47,1956722.57
ดอนตูม,นครปฐม,23.18,10.47,10.19,53.86,366,20.364088605329183,99.91152008280697,Moderate,#ffff00,ดอนตูม|นครปฐม,11122099.54,2316212.467
นครชัยศรี,นครปฐม,23.66,10.3,10.54,54.2,366,20.280231902971195,100.14166495516879,Moderate,#ffff00,นครชัยศรี|นครปฐม,11147719.15,2306257.959
ท่าอุเทน,นครพนม,24.19,14.06,8.17,66.51,366,20.25090480296334,99.65985930174911,Moderate,#ffff00,ท่าอุเทน|นครพนม,11094084.79,2302777.853
กำแพงแสน,นครปฐม,23.33,10.39,10.56,53.71,366,20.162669704651957,99.84750586616603,Moderate,#ffff00,กำแพงแสน|นครปฐม,11114973.51,2292311.376
ปากพลี,นครนายก,21.17,8.79,9.42,56.59,366,20.151851147871326,100.34359230715195,Moderate,#ffff00,ปากพลี|นครนายก,11170197.6,2291028.483
เรณูนคร,นครพนม,24.25,13.71,8.32,64.09,366,20.13844551496234,100.15217596264522,Moderate,#ffff00,เรณูนคร|นครพนม,11148889.23,2289438.931
ธาตุพนม,นครพนม,24.58,13.7,8.66,63.74,366,20.01687020091484,100.05924866010113,Moderate,#ffff00,ธาตุพนม|นครพนม,11138544.61,2275029.541
เมืองนครพนม,นครพนม,25.31,15.56,7.51,79.16,366,20.005195040440107,100.47227588177056,Unhealthy for Sensitive,#ff7e00,เมืองนครพนม|นครพนม,11184522.59,2273646.361
คง,นครราชสีมา,23.88,11.53,10.24,54.19,366,20.00082330481334,99.32785975938116,Moderate,#ffff00,คง|นครราชสีมา,11057126.77,2273128.459
วังเจ้า,ตาก,26.17,17.28,7.62,73.64,366,19.91630711529881,99.77327151653766,Unhealthy for Sensitive,#ff7e00,วังเจ้า|ตาก,11106709.78,2263118.987
